,0
296,The Terror of the Tongs
297,Blast of Silence
298,All in a Night's Work
299,Carry On Regardless
300,Town Without Pity
301,Underworld U.S.A.
302,The Hoodlum Priest
303,Konga
304,The Assassin
305,Gorgo
306,Violent Life
307,The Sins of Rachel Cade
308,The Greengage Summer
309,Mr. Topaze
310,"Two Living, One Dead"
311,Madison Avenue
312,Nazrana
313,Master of the World
314,Sanctuary
315,Hercules and the Conquest of Atlantis
316,The Secret Ways
317,Yojimbo
318,The Beast of Yucca Flats
319,"Atlantis, the Lost Continent"
320,Parrish
321,Return to Peyton Place
322,Teen Kanya
323,Mad Dog Coll
324,Angel Baby
325,Goliath Against the Giants
326,Viridiana
327,The Long Absence
328,Professor Mamlock
329,The Right Approach
330,A Bomb Was Stolen
331,The Young Savages
332,Snow White and the Three Stooges
333,The Last Time I Saw Archie
334,A Raisin in the Sun
335,The Pleasure of His Company
336,Gidget Goes Hawaiian
337,Taste of Fear
338,The Deadly Companions
339,The Curse of the Werewolf
340,Scarlet Sails
341,The Last Sunset
342,Romanoff and Juliet
343,Wild in the Country
344,The Lovemakers
345,The Colossus of Rhodes
346,Two Loves
347,Antigone
348,Black Silk
349,Flame in the Streets
350,Last Year at Marienbad
351,Fanny
352,Homicidal
353,The Ladies Man
354,The Naked Edge
355,Question 7
356,Goodbye Again
357,The Miracle of Father Malachia
358,Armored Command
359,Francis of Assisi
360,Voyage to the Bottom of the Sea
361,The Exiles
362,The Big Gamble
363,By Love Possessed
364,Invasion of the Neptune Men
365,Whistle Down the Wind
366,Tammy Tell Me True
367,Two Rode Together
368,Mothra
369,And Love Has Vanished
370,The Frightened City
371,The Pit and the Pendulum
372,"Marines, Let's Go"
373,The Honeymoon Machine
374,The Young Doctors
375,Ada
376,The Houseguest and My Mother
377,The Black Monocle
378,Victim
379,Accattone
380,Peace to Him Who Enters
381,A Woman Is a Woman
382,Harry and the Butler
383,A Taste of Honey
384,Immortal Love
385,Claudelle Inglish
386,"Nefertiti, Queen of the Nile"
387,The Fabulous Baron Munchausen
388,"Léon Morin, Priest"
389,The Hustler
390,"Murder, She Said"
391,A Thunder of Drums
392,Paris Blues
393,Breakfast at Tiffany's
394,Splendor in the Grass
395,Back Street
396,The Explosive Generation
397,Through a Glass Darkly
398,Bridge to the Sun
399,What a Whopper
400,The Devil at 4 O'Clock
401,Mr. Sardonicus
402,Dersu Uzala
403,Il Posto
404,Johnny Nobody
405,The Last Judgment
406,The Mask
407,The End of Summer
408,The Comancheros
409,Bachelor in Paradise
410,Susan Slade
411,Too Late Blues
412,Flower Drum Song
413,Hercules in the Haunted World
414,Summer and Smoke
415,Blue Hawaii
416,Valley of the Dragons
417,The Day the Earth Caught Fire
418,The Innocents
419,The Errand Boy
420,Tintin and the Golden Fleece
421,Five Minutes to Live
422,Paris Belongs to Us
423,The Young Ones
424,Babes in Toyland
425,Judgment at Nuremberg
426,The Outsider
427,"One, Two, Three"
428,The Children's Hour
429,A Difficult Life
430,Pocketful of Miracles
431,When the Trees Were Tall
432,Cash on Demand
433,Divorce Italian Style
434,Everything's Ducky
435,Mysterious Island
436,Sail a Crooked Ship
437,Something Wild
438,The Second Time Around
439,Barabbas
440,A Majority of One
441,Flight of the Lost Balloon
442,The Steamroller and the Violin
443,The Artillery Sergeant Kalen
444,Banditi a Orgosolo
445,Bootleggers
446,Chronicle of Flaming Years
447,Dondi
448,A Morte Comanda o Cangaço
449,Los Inundados
450,Havoc in Heaven
451,The Knife
452,Look in Any Window
453,Plácido
454,Portrait of a Mobster
455,The Roman Spring of Mrs. Stone
456,A Soldier's Prayer
457,A Song About the Gray Pigeon
458,Spotlight on a Murderer
459,Un taxi pour Tobrouk
460,We Were Young
461,Wife Number 13
462,Goofy
463,Tom and Jerry
464,Noveltoons
465,The Alvin Show
466,The Yankee Girl
467,It's the Old Army Game
468,Going My Way
469,The Quiet Man
470,Shanghai Express
471,The Thief of Bagdad
472,Sailing Along
473,Give Me a Sailor
474,Blood and Sand
475,The Girl of the Golden West
476,It's in the Air
477,Off the Dole
478,Long Night in 1943
479,The Goddess of Love
480,Ruggles of Red Gap
481,This Is Heaven
482,The Maltese Falcon
483,Broadway Melody of 1938
484,The Combat
485,The Suspect
486,High Noon
487,The Pride of the Yankees
488,Shadow of the Thin Man
489,Anchors Aweigh
490,The Fighting Renegade
491,You Can't Cheat an Honest Man
492,Never Give a Sucker an Even Break
493,Hold That Ghost
494,If You Knew Susie
495,A Night at the Opera
496,Supernatural
497,Luxury Liner
498,The Vanishing Dagger
499,Rio Rita
500,Hit the Deck
501,Broken Arrow
502,Merrill's Marauders
503,Winterset
504,The Grapes of Wrath
505,The Life of Emile Zola
506,The Lost Weekend
507,The Greatest Show on Earth
508,House on Haunted Hill
509,The Glenn Miller Story
510,The Benny Goodman Story
511,Fatty and Mabel at the San Diego Exposition
512,Down on the Farm
513,A Small Town Idol
514,The Cameraman
515,The Last of the Mohicans
516,The Poor Little Rich Girl
517,The Invisible Ray
518,David Copperfield
519,In Old Arizona
520,Black Moon
521,Angel and the Badman
522,Seven Men from Now
523,Gentlemen Prefer Blondes
524,The Lady Eve
525,Phantom of the Opera
526,Show People
527,Cain and Mabel
528,The Woman in Red
529,Rogues of Sherwood Forest
530,Bedlam
531,The Matrimonial Bed
532,The Magic Cloak of Oz
533,The Phantom Foe
534,The Public Enemy
535,Duck Soup
536,Meshes of the Afternoon
537,At Land
538,The Four Feathers
539,"Cry, the Beloved Country"
540,The Dragon Painter
541,The General
542,Sherlock Jr.
543,Häxan
544,The Witness for the Defense
545,Scarlet Pages
546,Bride of Frankenstein
547,"Murder, My Sweet"
548,Dodsworth
549,Female
550,Gentleman's Agreement
551,A Star Is Born
552,A Connecticut Yankee in King Arthur's Court
553,The Phantom of the Opera
554,The Little Shepherd of Kingdom Come
555,The Third Alibi
556,The Economic Times
557,Lawrence of Arabia
558,The Longest Day
559,The Music Man
560,That Touch of Mink
561,To Kill a Mockingbird
562,Gypsy
563,The Interns
564,In Search of the Castaways
565,War and Peace (film series)
566,Dr. No
567,Godzilla (franchise)
568,The Miracle Worker
569,The Manchurian Candidate
570,O Pagador de Promessas
571,Heaven and Earth Magic
572,Sanjuro
573,The Nun and the Sergeant
574,Only Two Can Play
575,Bachelor Flat
576,I Thank a Fool
577,The Intruder
578,My Geisha
579,Tender Is the Night
580,A View from the Bridge
581,The Three Stooges Meet Hercules
582,Light in the Piazza
583,Sergeants 3
584,The Bellboy and the Playgirls
585,Pontius Pilate
586,The Couch
587,Walk on the Wild Side
588,Rome Adventure
589,State Fair
590,Journey to the Seventh Planet
591,The Road to Hong Kong
592,Hitler
593,Sweet Bird of Youth
594,Gorath
595,Satan in High Heels
596,Satan Never Sleeps
597,Hand of Death
598,The Manster
599,Six Black Horses
600,The Broken Land
601,Moon Pilot
602,Ivan's Childhood
603,All Fall Down
604,Follow That Dream
605,House of Women
606,The Magic Sword
607,Cape Fear
608,Experiment in Terror
609,The Counterfeit Traitor
610,The Horizontal Lieutenant
611,Five Finger Exercise
612,Hands of a Stranger
613,The Man Who Shot Liberty Valance
614,Escape from Zahrain
615,Fire Monsters Against the Son of Hercules
616,The Brain That Wouldn't Die
617,Invasion of the Star Creatures
618,Jessica
619,War Hunt
620,The Inspector
621,Lonely Are the Brave
622,The Cabinet of Caligari
623,When the Girls Take Over
624,13 West Street
625,Big Red
626,"Lad, A Dog"
627,Eegah
628,It Happened in Athens
629,Lolita
630,Mr. Hobbs Takes a Vacation
631,Confessions of an Opium Eater
632,The Pigeon That Took Rome
633,Ride the High Country
634,Boys' Night Out
635,Hell Is for Heroes
636,Beauty and the Beast
