,Name,Sentiment Score,Audience Score,Rotten Score,a_r_difference,s_r_difference,s_a_difference
0,Gladiator,76,68,31,37,45,8
1,Dinosaur,0,0,0,0,0,0
2,Final Destination,42,68,35,33,7,26
3,Scary Movie,47,43,52,9,5,4
4,Meet the Parents,0,0,0,0,0,0
5,Traffic,0,0,0,0,0,0
6,The Adventures of Rocky and Bullwinkle,77,20,43,23,34,57
7,Charlie's Angels,76,78,52,26,24,2
8,Rugrats in Paris: The Movie,0,0,0,0,0,0
9,Thomas and the Magic Railroad,42,42,21,21,21,0
10,"Crouching Tiger, Hidden Dragon",84,86,97,11,13,2
11,American Psycho,62,85,69,16,7,23
12,Almost Famous,85,92,89,3,4,7
13,Erin Brockovich,88,81,85,4,3,7
14,Cast Away,75,84,89,5,14,9
15,What Women Want,78,29,0,29,78,49
16,How the Grinch Stole Christmas,48,95,100,5,52,47
17,The Perfect Storm,59,63,47,16,12,4
18,What Lies Beneath,29,58,47,11,18,29
19,Chicken Run,95,65,97,32,2,30
20,Billy Elliot,86,89,85,4,1,3
21,Nurse Betty,67,45,83,38,16,22
22,Quills,55,83,75,8,20,28
23,Wonder Boys,81,83,81,2,0,2
24,Chocolat,63,67,100,33,37,4
25,Pollock,71,74,80,6,9,3
26,You Can Count on Me,79,88,95,7,16,9
27,The Road to El Dorado,0,0,0,0,0,0
28,The Emperor's New Groove,0,0,0,0,0,0
29,Snow Falling on Cedars,75,67,39,28,36,8
30,Magnolia,64,89,83,6,19,25
31,Next Friday,50,76,21,55,29,26
32,My Dog Skip,83,68,73,5,10,15
33,Play It to the Bone,55,25,11,14,44,30
34,Supernova,0,0,0,0,0,0
35,The Boondock Saints,0,0,0,0,0,0
36,Down to You,64,49,3,46,61,15
37,The End of the Affair,0,0,0,0,0,0
38,"Up, Up and Away",0,0,0,0,0,0
39,Eye of the Beholder,0,0,0,0,0,0
40,Isn't She Great,82,38,25,13,57,44
41,Simpatico,65,14,25,11,40,51
42,Cabin by the Lake,0,0,0,0,0,0
43,Gun Shy,80,39,0,39,80,41
44,Scream 3,50,37,41,4,9,13
45,The Color of Friendship,0,0,0,0,0,0
46,The Beach,0,0,0,0,0,0
47,Snow Day,75,27,29,2,46,48
48,The Tigger Movie,82,62,62,0,20,20
49,An American Tail: The Treasure of Manhattan Island,0,0,0,0,0,0
50,Beautiful People,0,0,0,0,0,0
51,Boiler Room,0,0,0,0,0,0
52,Hanging Up,31,34,12,22,19,3
53,Pitch Black,79,77,59,18,20,2
54,The Whole Nine Yards,69,64,43,21,26,5
55,Reindeer Games,57,27,26,1,31,30
56,Freedom Song,0,0,0,0,0,0
57,The 10th Kingdom,0,0,0,0,0,0
58,An Extremely Goofy Movie,0,0,0,0,0,0
59,3 Strikes,31,66,0,66,31,35
60,Drowning Mona,78,46,29,17,49,32
61,The Next Best Thing,0,0,0,0,0,0
62,If These Walls Could Talk 2,0,0,0,0,0,0
63,Mission to Mars,59,30,24,6,35,29
64,The Ninth Gate,0,0,0,0,0,0
65,Model Behavior,0,0,0,0,0,0
66,Beyond the Mat,0,0,0,0,0,0
67,Alley Cats Strike,0,0,0,0,0,0
68,Romeo Must Die,72,61,32,29,40,11
69,Ghost Dog: The Way of the Samurai,83,86,83,3,0,3
70,Here on Earth,56,60,17,43,39,4
71,Mr. Accident,0,0,0,0,0,0
72,Whatever It Takes,0,0,0,0,0,0
73,The Audrey Hepburn Story,0,0,0,0,0,0
74,Leprechaun in the Hood,18,32,33,1,15,14
75,High Fidelity,0,0,0,0,0,0
76,Price of Glory,73,77,33,44,40,4
77,The Skulls,0,0,0,0,0,0
78,Black and White,0,0,0,0,0,0
79,Joe Gould's Secret,77,63,65,2,12,14
80,Ready to Rumble,47,52,23,29,24,5
81,Return to Me,98,79,62,17,36,19
82,Rules of Engagement,37,55,37,18,0,18
83,Angels in the Infield,0,0,0,0,0,0
84,Don Quixote,0,0,0,0,0,0
85,Fail Safe,100,79,100,21,0,21
86,28 Days,77,50,33,17,44,27
87,Keeping the Faith,89,59,69,10,20,30
88,Where the Money Is,47,36,48,12,1,11
89,Gossip,0,0,0,0,0,0
90,The Virgin Suicides,0,0,0,0,0,0
91,Rip Girls,0,0,0,0,0,0
92,The Three Stooges,0,0,0,0,0,0
93,The Expendables,62,64,42,22,20,2
94,The Big Kahuna,91,71,73,2,18,20
95,Committed,0,0,0,0,0,0
96,The Flintstones in Viva Rock Vegas,89,20,25,5,64,69
97,Frequency,52,81,70,11,18,29
98,The Last September,40,33,42,9,2,7
99,Where the Heart Is,0,0,0,0,0,0
100,Arabian Nights (miniseries),0,0,0,0,0,0
101,I Dreamed of Africa,65,56,10,46,55,9
102,Michael Jordan to the Max,84,81,67,14,17,3
103,Up at the Villa,56,36,45,9,11,20
104,Geppetto,0,0,0,0,0,0
105,Jason and the Argonauts (miniseries),0,0,0,0,0,0
106,Battlefield Earth,31,12,3,9,28,19
107,Center Stage,0,0,0,0,0,0
108,Hamlet,0,0,0,0,0,0
109,Held Up,0,0,0,0,0,0
110,Screwed,0,0,0,0,0,0
111,Miracle in Lane 2,0,0,0,0,0,0
112,Road Trip,0,0,0,0,0,0
113,Small Time Crooks,79,57,66,9,13,22
114,Cheaters,0,0,0,0,0,0
115,Passion of Mind,81,51,19,32,62,30
116,Shanghai Noon,87,65,80,15,7,22
117,Big Momma's House,29,57,30,27,1,28
118,Running Free,0,0,0,0,0,0
119,Gone in 60 Seconds,0,0,0,0,0,0
120,Love's Labour's Lost,0,0,0,0,0,0
121,Sunshine,0,0,0,0,0,0
122,Boys and Girls,67,50,11,39,56,17
123,Fantasia 2000,69,75,81,6,12,6
124,Jesus' Son,44,83,80,3,36,39
125,Shaft,71,94,34,60,37,23
126,Titan A.E.,69,60,50,10,19,9
127,Time Regained,62,71,71,0,9,9
128,Stepsister from Planet Weird,0,0,0,0,0,0
129,The Patriot,0,0,0,0,0,0
130,Trixie,60,23,28,5,32,37
131,Blood Simple,78,88,93,5,15,10
132,But I'm a Cheerleader,68,74,42,32,26,6
133,Disney's The Kid,0,0,0,0,0,0
134,Heavy Metal 2000,52,36,17,19,35,16
135,The Five Senses,0,0,0,0,0,0
136,Ready to Run,0,0,0,0,0,0
137,The In Crowd,0,0,0,0,0,0
138,The Eyes of Tammy Faye,24,87,69,18,45,63
139,Loser,0,0,0,0,0,0
140,Pokémon: The Movie 2000,0,0,0,0,0,0
141,An American Tail: The Mystery of the Night Monster,0,0,0,0,0,0
142,Beethoven's 3rd,100,24,0,24,100,76
143,Croupier,70,79,95,16,25,9
144,Girl on the Bridge,0,0,0,0,0,0
145,Nutty Professor II: The Klumps,34,33,26,7,8,1
146,Wonderland,0,0,0,0,0,0
147,Coyote Ugly,57,71,23,48,34,14
148,Hollow Man,49,28,26,2,23,21
149,Saving Grace,0,0,0,0,0,0
150,Space Cowboys,50,53,78,25,28,3
151,The Tao of Steve,0,0,0,0,0,0
152,Buzz Lightyear of Star Command: The Adventure Begins,0,0,0,0,0,0
153,Autumn in New York,62,54,19,35,43,8
154,Bless the Child,47,43,3,40,44,4
155,Cecil B. Demented,75,67,52,15,23,8
156,The Opportunists,0,0,0,0,0,0
157,The Replacements,0,0,0,0,0,0
158,The New Adventures of Spin and Marty: Suspect Behavior,0,0,0,0,0,0
159,Running Mates,0,0,0,0,0,0
160,The Cell,0,0,0,0,0,0
161,Godzilla 2000,69,54,57,3,12,15
