,Name,Sentiment Score,Audience Score,Rotten Score,a_r_difference,s_r_difference,s_a_difference
162,The Original Kings of Comedy,0,0,0,0,0,0
163,Quints,0,0,0,0,0,0
164,Sunset Strip,0,0,0,0,0,0
165,The Art of War,0,0,0,0,0,0
166,Bring It On,92,66,64,2,28,26
167,The Crew,0,0,0,0,0,0
168,The Last of the Blonde Bombshells,0,0,0,0,0,0
169,Alvin and the Chipmunks Meet the Wolfman,0,0,0,0,0,0
170,Highlander: Endgame,33,38,11,27,22,5
171,Whipped,0,0,0,0,0,0
172,Turn It Up,58,26,8,18,50,32
173,Backstage,0,0,0,0,0,0
174,The Other Me,100,73,40,33,60,27
175,This Is Spinal Tap,80,92,95,3,15,12
176,The Watcher,0,0,0,0,0,0
177,The Way of the Gun,0,0,0,0,0,0
178,Bait,13,61,100,39,87,48
179,Circus,0,0,0,0,0,0
180,Crime and Punishment in Suburbia,28,58,21,37,7,30
181,Duets,0,0,0,0,0,0
182,Into the Arms of Strangers: Stories of the Kindertransport,67,87,91,4,24,20
183,The Little Mermaid II: Return to the Sea,0,0,0,0,0,0
184,The Fantasticks,59,49,48,1,11,10
185,Under Suspicion,0,0,0,0,0,0
186,Urban Legends: Final Cut,32,20,9,11,23,12
187,Woman on Top,100,42,35,7,65,58
188,Beautiful,0,0,0,0,0,0
189,Best in Show,95,89,93,4,2,6
190,Girlfight,79,75,88,13,9,4
191,Remember the Titans,84,93,73,20,11,9
192,Bamboozled,50,74,53,21,3,24
193,Bootmen,67,69,35,34,32,2
194,Dancer in the Dark,42,91,69,22,27,49
195,Digimon: The Movie,55,66,24,42,31,11
196,Get Carter,31,28,11,17,20,3
197,Tigerland,0,0,0,0,0,0
198,Animal Factory,29,58,83,25,54,29
199,The Contender,0,0,0,0,0,0
200,The Ladies Man,78,42,11,31,67,36
201,Lost Souls,0,0,0,0,0,0
202,Mom's Got a Date with a Vampire,0,0,0,0,0,0
203,Whispers: An Elephant's Tale,0,0,0,0,0,0
204,Bedazzled,0,0,0,0,0,0
205,Cherry Falls,66,32,61,29,5,34
206,Drunken Master II,0,0,0,0,0,0
207,Pay It Forward,77,77,39,38,38,0
208,Book of Shadows: Blair Witch 2,10,18,14,4,4,8
209,The Little Vampire,75,55,55,0,20,20
210,Loving Jezebel,85,47,33,14,52,38
211,Lucky Numbers,54,19,22,3,32,35
212,Batman Beyond: Return of the Joker,81,86,100,14,19,5
213,Mercy Streets,38,55,13,42,25,17
214,The Legend of Bagger Vance,0,0,0,0,0,0
215,Little Nicky,45,55,21,34,24,10
216,Men of Honor,64,81,42,39,22,17
217,Phantom of the Megaplex,0,0,0,0,0,0
218,Red Planet,52,28,14,14,38,24
219,In the Beginning (miniseries),0,0,0,0,0,0
220,The Miracle Worker,0,0,0,0,0,0
221,The 6th Day,52,32,40,8,12,20
222,Bounce,78,32,53,21,25,46
223,For Love or Country: The Arturo Sandoval Story,0,0,0,0,0,0
224,Our Lips Are Sealed,0,0,0,0,0,0
225,102 Dalmatians,69,32,31,1,38,37
226,Unbreakable,0,0,0,0,0,0
227,Panic,0,0,0,0,0,0
228,The Ultimate Christmas Present,0,0,0,0,0,0
229,Proof of Life,57,43,39,4,18,14
230,Snatch,69,93,74,19,5,24
231,Vertical Limit,63,41,48,7,15,22
232,Disappearing Acts,100,85,60,25,40,15
233,Air Bud: World Pup,0,0,0,0,0,0
234,Before Night Falls,62,84,74,10,12,22
235,Dracula 2000,43,39,17,22,26,4
236,The Family Man,0,0,0,0,0,0
237,Finding Forrester,85,79,74,5,11,6
238,The Gift,0,0,0,0,0,0
239,The House of Mirth,0,0,0,0,0,0
240,Miss Congeniality,72,69,41,28,31,3
241,State and Main,77,70,85,15,8,7
242,Thirteen Days,53,80,83,3,30,27
243,All the Pretty Horses,63,42,32,10,31,21
244,An Everlasting Piece,0,0,0,0,0,0
245,Vatel,34,60,31,29,3,26
246,The Claim,0,0,0,0,0,0
247,Shadow of the Vampire,74,74,81,7,7,0
248,101 Reykjavík,0,0,0,0,0,0
249,A Better Way to Die,0,0,0,0,0,0
250,Across the Line,0,0,0,0,0,0
251,Adanggaman,49,62,90,28,41,13
252,Adventures in Wild California,77,50,86,36,9,27
253,Ali Zaoua,0,0,0,0,0,0
254,Amores perros,58,94,93,1,35,36
255,Baller Blockin',0,0,0,0,0,0
256,Bang Rajan,51,73,71,2,20,22
257,Battle Royale,51,89,88,1,37,38
258,The Bench,0,0,0,0,0,0
259,Blue's Big Musical Movie,0,0,0,0,0,0
260,Brother,0,0,0,0,0,0
261,La Captive,0,0,0,0,0,0
262,The Chaos Factor,0,0,0,0,0,0
263,Chopper,0,0,0,0,0,0
264,A Chronicle of Corpses,0,0,0,0,0,0
265,The Circle,0,0,0,0,0,0
266,Code Unknown,0,0,0,0,0,0
267,Coming Out,0,0,0,0,0,0
268,La comunidad,0,0,0,0,0,0
269,The Crow: Salvation,0,0,0,0,0,0
270,The Day I Became a Woman,0,0,0,0,0,0
271,Devils on the Doorstep,54,95,91,4,37,41
272,Ditto,0,0,0,0,0,0
273,Divided We Fall,77,91,90,1,13,14
274,Djomeh,80,62,90,28,10,18
275,Durian Durian,0,0,0,0,0,0
276,El Bola,0,0,0,0,0,0
277,Enslavement: The True Story of Fanny Kemble,0,0,0,0,0,0
278,Escaflowne,0,0,0,0,0,0
279,Faat Kiné,0,0,0,0,0,0
280,Face,0,0,0,0,0,0
281,For All Time,0,0,0,0,0,0
282,Forbidden Fruit,0,0,0,0,0,0
283,The Foul King,0,0,0,0,0,0
284,Gangster No. 1,46,77,71,6,25,31
285,Ginger Snaps,47,78,89,11,42,31
286,The Girl,0,0,0,0,0,0
287,Godzilla vs. Megaguirus,68,47,60,13,8,21
288,The Golden Bowl,0,0,0,0,0,0
289,Greenfingers,72,66,46,20,26,6
290,Happy Accidents,84,75,70,5,14,9
291,Happy Times,63,78,73,5,10,15
292,How to Kill Your Neighbor's Dog,68,73,59,14,9,5
293,Il Mare,0,0,0,0,0,0
294,In the Mood for Love,0,0,0,0,0,0
295,The Irrefutable Truth about Demons,0,0,0,0,0,0
296,The Isle,0,0,0,0,0,0
297,Italian for Beginners,91,79,87,8,4,12
298,Ivans Xtc,0,0,0,0,0,0
