,Name,Sentiment Score,Audience Score,Rotten Score,a_r_difference,s_r_difference,s_a_difference
139,Hardball,61,70,41,29,20,9
140,Glitter,49,48,6,42,43,1
141,Born Romantic,89,55,58,3,31,34
142,Dinner Rush,76,85,91,6,15,9
143,Don't Say a Word,50,49,24,25,26,1
144,Hearts in Atlantis,66,64,49,15,17,2
145,Zoolander,67,80,65,15,2,13
146,Joy Ride,56,83,100,17,44,27
147,Max Keeble's Big Move,76,38,29,9,47,38
148,Serendipity,0,0,0,0,0,0
149,Bandits,0,0,0,0,0,0
150,Corky Romano,38,39,7,32,31,1
151,Halloweentown II: Kalabar's Revenge,0,0,0,0,0,0
152,Iron Monkey,0,0,0,0,0,0
153,Mulholland Drive,0,0,0,0,0,0
154,My First Mister,63,75,53,22,10,12
155,From Hell,45,66,57,9,12,21
156,The Last Castle,0,0,0,0,0,0
157,Riding in Cars with Boys,64,66,49,17,15,2
158,Waking Life,0,0,0,0,0,0
159,A Chronicle of Corpses,0,0,0,0,0,0
160,Donnie Darko,67,80,86,6,19,13
161,On the Line,0,0,0,0,0,0
162,Thirteen Ghosts,37,48,17,31,20,11
163,Bones,0,0,0,0,0,0
164,Wasabi,55,69,43,26,12,14
165,Domestic Disturbance,52,37,24,13,28,15
166,The Man Who Wasn't There,0,0,0,0,0,0
167,The One,33,51,13,38,20,18
168,Mickey's Magical Christmas: Snowed in at the House of Mouse,0,0,0,0,0,0
169,Heist,0,0,0,0,0,0
170,Life as a House,50,88,47,41,3,38
171,Maze,63,49,92,43,29,14
172,Shallow Hal,66,45,50,5,16,21
173,Novocaine,74,38,38,0,36,36
174,The Wash,0,0,0,0,0,0
175,Prancer Returns,0,0,0,0,0,0
176,Black Knight,66,34,15,19,51,32
177,Out Cold,0,0,0,0,0,0
178,Sidewalks of New York,0,0,0,0,0,0
179,Spy Game,81,75,66,9,15,6
180,The Affair of the Necklace,0,0,0,0,0,0
181,Behind Enemy Lines,0,0,0,0,0,0
182,Brian's Song,41,82,92,10,51,41
183,Call Me Claus,0,0,0,0,0,0
184,Beethoven's 4th,33,28,0,28,33,5
185,'Twas the Night,0,0,0,0,0,0
186,Not Another Teen Movie,71,55,30,25,41,16
187,The Other Side of Heaven,68,73,30,43,38,5
188,Vanilla Sky,81,72,42,30,39,9
189,The Shipping News,0,0,0,0,0,0
190,Aida of the Trees,0,0,0,0,0,0
191,The Business of Strangers,0,0,0,0,0,0
192,How High,43,79,26,53,17,36
193,Jimmy Neutron: Boy Genius,84,53,74,21,10,31
194,Joe Somebody,73,27,21,6,52,46
195,The Majestic,64,60,42,18,22,4
196,Momo,0,0,0,0,0,0
197,Ali,0,0,0,0,0,0
198,I Am Sam,44,86,35,51,9,42
199,Black Hawk Down,38,88,77,11,39,50
200,Charlotte Gray,54,62,33,29,21,8
201,The 51st State,0,0,0,0,0,0
202,Absolute 100,0,0,0,0,0,0
203,Address Unknown,0,0,0,0,0,0
204,The American Astronaut,0,0,0,0,0,0
205,Amy's Orgasm,0,0,0,0,0,0
206,Animal,0,0,0,0,0,0
207,Another Life,0,0,0,0,0,0
208,As Far as My Feet Will Carry Me,0,0,0,0,0,0
209,Atanarjuat: The Fast Runner,0,0,0,0,0,0
210,Avalon,0,0,0,0,0,0
211,The Bank,0,0,0,0,0,0
212,Baran,92,90,89,1,3,2
213,Behind the Sun,50,88,74,14,24,38
214,Beijing Bicycle,38,73,62,11,24,35
215,Beijing Rocks,0,0,0,0,0,0
216,Berlin Babylon,100,86,67,19,33,14
217,The Believer,0,0,0,0,0,0
218,Big Bad Love,62,71,42,29,20,9
219,"Big Man, Little Love",0,0,0,0,0,0
220,Bintou,0,0,0,0,0,0
221,Birthday Girl,89,39,59,20,30,50
222,Black Chicks Talking,0,0,0,0,0,0
223,Bolivia,46,82,100,18,54,36
224,A Boy Named Sue,0,0,0,0,0,0
225,Bread and Milk,0,0,0,0,0,0
226,Brotherhood of the Wolf,83,78,73,5,10,5
227,Buffalo Soldiers,0,0,0,0,0,0
228,Bungee Jumping of Their Own,0,0,0,0,0,0
229,The Bunker,0,0,0,0,0,0
230,CQ,0,0,0,0,0,0
231,A Cab for Three,0,0,0,0,0,0
232,The Cat's Meow,0,0,0,0,0,0
233,Chandni Bar,0,0,0,0,0,0
234,Chaos,0,0,0,0,0,0
235,The Closet,0,0,0,0,0,0
236,The Code,0,0,0,0,0,0
237,Come Look at Me,0,0,0,0,0,0
238,Crush,51,84,75,9,24,33
239,Crying... Silicon Tears,0,0,0,0,0,0
240,Dark Blue World,72,84,62,22,10,12
241,Delivering Milo,0,0,0,0,0,0
242,Den,0,0,0,0,0,0
243,The Devil's Backbone,0,0,0,0,0,0
244,Dil Chahta Hai,0,0,0,0,0,0
245,Disco Pigs,40,75,20,55,20,35
246,Distance,0,0,0,0,0,0
247,Dog Days,0,0,0,0,0,0
248,Down House,0,0,0,0,0,0
